,広告名,メインウェブサイト名,キャンペーン,広告タイプ,バナーサイズ,アフィリエイト報酬,インプレッション,CTR,CVR,7日間のクリック,過去7日間の報酬,獲得報酬,リンクテキスト,テキストリンクコード,バナーコード,短縮リンク,登録日
36,Sabon（サボン）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,84%,0%,0,0,0,Sabon（サボン）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/ywlUMlB8Ppg' rel='nofollow'><strong>Sabon（サボン）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/ywlUMlB8Ppg' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/ywlUMlB8Ppg' rel='nofollow'><img src = 'https://mttag.com/banner/ywlUMlB8Ppg' alt = 'Sabon（サボン）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/ywlUMlB8Ppg,2021-11-19 08:18:06.383000
37,ADDICTION（アディクション）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,ADDICTION（アディクション）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/lv2i0kzNerY' rel='nofollow'><strong>ADDICTION（アディクション）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/lv2i0kzNerY' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/lv2i0kzNerY' rel='nofollow'><img src = 'https://mttag.com/banner/lv2i0kzNerY' alt = 'ADDICTION（アディクション）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/lv2i0kzNerY,2021-11-19 08:17:11.986000
38,NYX（ニックス）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,NYX（ニックス）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/1AiHuDkfTUM' rel='nofollow'><strong>NYX（ニックス）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/1AiHuDkfTUM' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/1AiHuDkfTUM' rel='nofollow'><img src = 'https://mttag.com/banner/1AiHuDkfTUM' alt = 'NYX（ニックス）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/1AiHuDkfTUM,2021-11-19 08:16:09.892000
39,Gucci（グッチ）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Gucci（グッチ）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/zHsBvQf6cww' rel='nofollow'><strong>Gucci（グッチ）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/zHsBvQf6cww' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/zHsBvQf6cww' rel='nofollow'><img src = 'https://mttag.com/banner/zHsBvQf6cww' alt = 'Gucci（グッチ）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/zHsBvQf6cww,2021-11-19 08:15:08.184000
40,Cle De Peau（クレ・ド・ポー）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Cle De Peau（クレ・ド・ポー）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/6FmVoBDOdyc' rel='nofollow'><strong>Cle De Peau（クレ・ド・ポー）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/6FmVoBDOdyc' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/6FmVoBDOdyc' rel='nofollow'><img src = 'https://mttag.com/banner/6FmVoBDOdyc' alt = 'Cle De Peau（クレ・ド・ポー）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/6FmVoBDOdyc,2021-11-19 08:14:11.906000
41,Sisley（シスレー）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Sisley（シスレー）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/dSDksBP-EyM' rel='nofollow'><strong>Sisley（シスレー）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/dSDksBP-EyM' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/dSDksBP-EyM' rel='nofollow'><img src = 'https://mttag.com/banner/dSDksBP-EyM' alt = 'Sisley（シスレー）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/dSDksBP-EyM,2021-11-19 08:13:18.292000
42,John Masters Organics（ジョンマスターオーガニック）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,John Masters Organics（ジョンマスターオーガニック）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/IcxaJUQeBYA' rel='nofollow'><strong>John Masters Organics（ジョンマスターオーガニック）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/IcxaJUQeBYA' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/IcxaJUQeBYA' rel='nofollow'><img src = 'https://mttag.com/banner/IcxaJUQeBYA' alt = 'John Masters Organics（ジョンマスターオーガニック）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/IcxaJUQeBYA,2021-11-19 08:12:19.412000
43,Helena Rubinstein（ヘレナ ルビンスタイン）,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Helena Rubinstein（ヘレナ ルビンスタイン）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/w_cXWka4r6A' rel='nofollow'><strong>Helena Rubinstein（ヘレナ ルビンスタイン）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/w_cXWka4r6A' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/w_cXWka4r6A' rel='nofollow'><img src = 'https://mttag.com/banner/w_cXWka4r6A' alt = 'Helena Rubinstein（ヘレナ ルビンスタイン）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/w_cXWka4r6A,2021-11-19 08:11:17.994000
44,Jo Malone（ジョーマローン）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Jo Malone（ジョーマローン）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/cRmDFDwtiHA' rel='nofollow'><strong>Jo Malone（ジョーマローン）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/cRmDFDwtiHA' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/cRmDFDwtiHA' rel='nofollow'><img src = 'https://mttag.com/banner/cRmDFDwtiHA' alt = 'Jo Malone（ジョーマローン）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/cRmDFDwtiHA,2021-11-19 08:09:56.502000
45,Aesop（イソップ）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Aesop（イソップ）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/wRppteOeFXk' rel='nofollow'><strong>Aesop（イソップ）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/wRppteOeFXk' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/wRppteOeFXk' rel='nofollow'><img src = 'https://mttag.com/banner/wRppteOeFXk' alt = 'Aesop（イソップ）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/wRppteOeFXk,2021-11-19 08:08:09.079000
46,Lancome（ランコム）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Lancome（ランコム）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/42h680tQoLs' rel='nofollow'><strong>Lancome（ランコム）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/42h680tQoLs' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/42h680tQoLs' rel='nofollow'><img src = 'https://mttag.com/banner/42h680tQoLs' alt = 'Lancome（ランコム）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/42h680tQoLs,2021-11-19 08:06:43.293000
47,Givenchy（ジバンシィ）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Givenchy（ジバンシィ）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/IfT9W3BV33M' rel='nofollow'><strong>Givenchy（ジバンシィ）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/IfT9W3BV33M' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/IfT9W3BV33M' rel='nofollow'><img src = 'https://mttag.com/banner/IfT9W3BV33M' alt = 'Givenchy（ジバンシィ）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/IfT9W3BV33M,2021-11-19 08:04:35.277000
48,Chanel（シャネル）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Chanel（シャネル）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/KkLx7E6KOAQ' rel='nofollow'><strong>Chanel（シャネル）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/KkLx7E6KOAQ' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/KkLx7E6KOAQ' rel='nofollow'><img src = 'https://mttag.com/banner/KkLx7E6KOAQ' alt = 'Chanel（シャネル）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/KkLx7E6KOAQ,2021-11-19 08:02:02.044000
49,Elizabeth Arden（エリザベスアーデン）,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Elizabeth Arden（エリザベスアーデン）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/f3uMlKRjko8' rel='nofollow'><strong>Elizabeth Arden（エリザベスアーデン）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/f3uMlKRjko8' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/f3uMlKRjko8' rel='nofollow'><img src = 'https://mttag.com/banner/f3uMlKRjko8' alt = 'Elizabeth Arden（エリザベスアーデン）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/f3uMlKRjko8,2021-11-19 08:00:23.075000
50,Clarins（クラランス）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,4500%,0%,0,0,0,Clarins（クラランス）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/V9bs328f1VQ' rel='nofollow'><strong>Clarins（クラランス）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/V9bs328f1VQ' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/V9bs328f1VQ' rel='nofollow'><img src = 'https://mttag.com/banner/V9bs328f1VQ' alt = 'Clarins（クラランス）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/V9bs328f1VQ,2021-11-19 07:58:52.434000
51,Shiseido（資生堂）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,191%,0%,0,0,0,Shiseido（資生堂）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/UlTM7CVTUbg' rel='nofollow'><strong>Shiseido（資生堂）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/UlTM7CVTUbg' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/UlTM7CVTUbg' rel='nofollow'><img src = 'https://mttag.com/banner/UlTM7CVTUbg' alt = 'Shiseido（資生堂）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/UlTM7CVTUbg,2021-11-19 07:56:45.151000
52,Burberry（バーバリー）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Burberry（バーバリー）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/JmBOlBaEjlQ' rel='nofollow'><strong>Burberry（バーバリー）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/JmBOlBaEjlQ' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/JmBOlBaEjlQ' rel='nofollow'><img src = 'https://mttag.com/banner/JmBOlBaEjlQ' alt = 'Burberry（バーバリー）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/JmBOlBaEjlQ,2021-11-19 07:53:53.438000
53,BareMinerals（ベアミネラル）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,BareMinerals（ベアミネラル）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/VoCiLQG8NoA' rel='nofollow'><strong>BareMinerals（ベアミネラル）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/VoCiLQG8NoA' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/VoCiLQG8NoA' rel='nofollow'><img src = 'https://mttag.com/banner/VoCiLQG8NoA' alt = 'BareMinerals（ベアミネラル）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/VoCiLQG8NoA,2021-11-19 07:50:35.105000
54,Kiehl's（キールズ）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Kiehl's（キールズ）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/Kv2EbM-y0KE' rel='nofollow'><strong>Kiehl's（キールズ）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/Kv2EbM-y0KE' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/Kv2EbM-y0KE' rel='nofollow'><img src = 'https://mttag.com/banner/Kv2EbM-y0KE' alt = 'Kiehl's（キールズ）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/Kv2EbM-y0KE,2021-11-19 07:45:20.228000
55,THREE（スリー ）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,THREE（スリー ）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/owzf4pWImGs' rel='nofollow'><strong>THREE（スリー ）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/owzf4pWImGs' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/owzf4pWImGs' rel='nofollow'><img src = 'https://mttag.com/banner/owzf4pWImGs' alt = 'THREE（スリー ）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/owzf4pWImGs,2021-11-18 09:33:56.651000
56,Tom Ford（トム フォード）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Tom Ford（トム フォード）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/31nIW9e-4s4' rel='nofollow'><strong>Tom Ford（トム フォード）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/31nIW9e-4s4' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/31nIW9e-4s4' rel='nofollow'><img src = 'https://mttag.com/banner/31nIW9e-4s4' alt = 'Tom Ford（トム フォード）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/31nIW9e-4s4,2021-11-18 09:31:50.310000
57,Christian Dior（クリスチャン ディオール）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Christian Dior（クリスチャン ディオール）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/xt4eAxn9PBs' rel='nofollow'><strong>Christian Dior（クリスチャン ディオール）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/xt4eAxn9PBs' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/xt4eAxn9PBs' rel='nofollow'><img src = 'https://mttag.com/banner/xt4eAxn9PBs' alt = 'Christian Dior（クリスチャン ディオール）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/xt4eAxn9PBs,2021-11-18 09:29:15.671000
